>>>>>Running tests<<<<<
Running 2 test sets
person19_running_d2_uncomp.avi [det: 0.54][falsep: 0.01][fps: 193.67]
person20_running_d4_uncomp.avi [det: 0.52][falsep: 0.07][fps: 196.44]
person21_running_d1_uncomp.avi [det: 0.50][falsep: 0.03][fps: 188.65]
person22_running_d3_uncomp.avi [det: 0.31][falsep: 0.03][fps: 199.21]
person23_running_d4_uncomp.avi [det: 0.44][falsep: 0.01][fps: 194.52]
person24_running_d3_uncomp.avi [det: 0.58][falsep: 0.03][fps: 192.08]
person25_running_d3_uncomp.avi [det: 0.15][falsep: 0.00][fps: 188.08]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.49][falsep: 0.08][fps: 2727.43]
person02_running_d4_uncomp.avi [det: 0.73][falsep: 0.07][fps: 2433.52]
person03_running_d4_uncomp.avi [det: 0.57][falsep: 0.00][fps: 2510.81]
